Back,Table 10. National income and composition of resources,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG8.1,,SDG10.4,,,,,,,,,,,,,,SDG17.4,,,
35,Poland,"1,256.3",,"33,086",,4.2,,48.1,,18.6,,17.9,,4.9,,17.4,,13.0,,..,,..,,114,
36,Andorra,..,,..,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,
37,Latvia,59.0,,"30,830",,3.0,,53.4,,22.9,,18.2,,2.6,,22.9,,7.2,,..,,..,,117,
38,Portugal,357.4,,"34,798",,2.3,,54.5,,18.3,,16.9,,1.1,,22.8,,24.2,,..,,..,,111,
39,Slovakia,178.9,,"32,793",,2.3,,51.0,,21.5,,19.6,,4.6,,18.7,,18.5,,..,,..,,115,
40,Hungary,318.7,,"32,623",,5.0,,47.6,,28.6,,19.4,,1.7,,23.0,,16.0,,..,,..,,122,
40,Saudi Arabia,"1,609.3",,"46,962",,-1.3,,31.5,,22.1,,23.8,,-3.5,,8.9,,1.8,,..,,..,,118,
42,Bahrain,73.9,,"45,026",,-2.6,,30.0,,29.6,,16.3,,0.6,,..,,..,,..,,..,,118,c
43,Chile,459.1,,"24,226",,-0.1,,62.1,,22.4,,14.6,,-0.3,,18.2,,36.7,,..,,..,,132,
43,Croatia,116.0,,"28,509",,3.5,,58.1,,20.7,,19.6,,3.3,,22.0,,7.3,,..,,..,,110,
45,Qatar,262.4,,"92,651",,-2.0,,18.6,,..,,18.4,,-6.1,,..,,..,,..,,..,,115,
46,Argentina,990.2,,"22,034",,-3.1,,58.5,,13.1,,15.3,,-1.5,,10.1,,10.4,,56.1,,7.4,,233,
47,Brunei Darussalam,26.9,,"62,100",,2.8,,47.9,,38.5,,25.0,,1.8,,..,,..,,..,,..,,99,
48,Montenegro,13.3,,"21,379",,3.6,,45.7,,27.7,,18.3,,1.5,,..,,..,,144.1,,30.9,,116,c
49,Romania,578.9,,"29,909",,4.7,,44.8,,23.6,,17.3,,6.4,,14.6,,15.2,,48.0,,9.1,,124,
50,Palau,0.3,c,"18,070",c,1.1,c,..,,25.5,,32.4,,4.4,,21.3,,8.6,,..,,..,,118,d
51,Kazakhstan,487.9,,"26,351",,3.2,,41.0,,23.2,,9.2,,15.5,,11.7,,30.7,,105.7,,21.4,,183,
52,Russian Federation,"3,968.2",,"27,044",,1.4,,52.0,,21.0,,18.3,,2.2,,11.4,,2.3,,28.1,,6.7,,181,
53,Belarus,181.3,,"19,150",,1.4,,49.0,,27.0,,15.9,,0.4,,14.7,,3.1,,67.7,,10.0,,..,
54,Turkey,"2,350.0",,"28,167",,-0.5,,36.2,,26.1,,15.7,,4.4,,17.9,,19.2,,59.0,,11.1,,234,
55,Uruguay,74.6,,"21,561",,-0.1,,46.7,,17.2,,15.0,,0.8,,20.1,,22.0,,..,,..,,203,
56,Bulgaria,161.1,,"23,091",,4.1,,51.4,,18.3,,17.5,,5.5,,20.2,,16.2,,60.3,,10.0,,114,
57,Panama,133.6,,"31,459",,1.3,,30.3,,38.6,,11.7,,6.5,,..,,..,,..,,..,,122,
58,Bahamas,13.9,,"35,783",,0.8,,58.3,,23.9,,12.3,,17.7,,14.8,,..,,..,,..,,116,
58,Barbados,4.5,,"15,639",,-0.2,,58.3,,15.5,,11.3,,..,,27.5,,30.0,,..,,..,,134,
60,Oman,138.8,,"27,896",,-2.4,,54.9,,24.5,,26.4,,0.6,,..,,..,,..,,..,,114,
61,Georgia,55.9,,"15,014",,5.3,,49.5,,23.7,,12.8,,1.6,,21.7,,34.1,,110.6,,14.2,,134,
62,Costa Rica,99.1,,"19,642",,1.1,,56.0,,16.1,,17.4,,4.9,,13.6,,16.5,,49.0,,6.8,,129,
62,Malaysia,905.8,,"28,351",,3.0,,41.8,,23.0,,11.7,,2.0,,12.0,,51.2,,..,,..,,121,
64,Kuwait,209.7,,"49,846",,-1.3,,29.4,,..,,22.7,,6.3,,1.4,,..,,..,,..,,127,
64,Serbia,126.3,,"18,180",,4.8,,52.5,,22.4,,17.1,,3.0,,18.6,e,7.6,e,71.7,,11.9,,144,
66,Mauritius,29.1,,"22,989",,3.5,,45.1,,19.8,,15.3,,2.7,,19.1,,20.9,,71.8,,20.6,,130,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,2.8,,"29,056",,3.8,,..,,40.0,e,21.4,,8.0,,34.1,,33.6,,..,,..,,130,
67,Trinidad and Tobago,36.5,,"26,176",,-0.4,,64.1,,..,,..,,..,,19.5,,22.5,,..,,..,,142,c
69,Albania,39.8,,"13,962",,2.7,,53.1,,22.3,,11.5,,3.1,,18.6,,16.7,,67.2,,7.2,,119,
70,Cuba,..,,..,,2.3,c,38.2,,11.5,,30.1,,1.3,,..,,..,,..,,..,,..,
70,Iran (Islamic Republic of),"1,172.7",d,"14,536",d,2.3,d,36.2,,19.7,,13.4,,3.9,,7.4,f,19.3,f,1.5,,0.1,d,551,
72,Sri Lanka,285.1,,"13,078",,1.7,,37.1,,27.1,,9.4,,9.6,,11.9,,16.1,,60.8,,8.6,,156,
73,Bosnia and Herzegovina,49.2,,"14,895",,3.3,,41.7,,18.9,,20.0,,2.3,,20.4,,8.4,,80.4,,4.7,,105,
74,Grenada,1.9,,"17,242",,2.6,,..,,..,,..,,..,,..,,..,,58.8,,5.3,,107,c
74,Mexico,"2,519.2",,"19,746",,-1.2,,34.6,,20.9,,11.6,,-1.5,,13.1,,37.7,,38.0,,4.9,,142,
74,Saint Kitts and Nevis,1.4,,"26,357",,1.8,,..,,30.0,,25.4,,..,,18.5,,16.1,,..,,..,,105,c
74,Ukraine,538.4,,"12,810",,3.8,,42.8,,18.0,,19.9,,-4.9,,20.1,,16.4,,89.6,,10.9,,282,
78,Antigua and Barbuda,2.1,,"21,908",,3.8,,..,,..,,..,,..,,..,,..,,..,,..,,114,c
79,Peru,417.7,,"12,848",,0.5,,46.1,,21.2,,13.3,,4.5,,14.3,,29.9,,31.3,,3.4,,130,
79,Thailand,"1,285.5",,"18,463",,2.1,,48.2,,22.6,,16.1,,1.4,,14.9,,30.6,,35.1,,3.8,,113,
81,Armenia,40.4,,"13,654",,7.4,,46.3,,15.8,,12.5,,12.5,,20.9,,40.1,,87.5,,13.3,,129,
82,North Macedonia,34.4,,"16,506",,3.5,,43.7,,21.2,,15.0,,4.5,,17.7,,18.1,,72.0,,10.7,,113,
83,Colombia,741.5,,"14,731",,1.9,,53.0,,21.6,,15.5,,4.3,,14.4,,25.3,,42.3,,7.5,,141,
84,Brazil,"3,092.2",,"14,652",,0.4,,60.4,,15.4,,20.3,,-0.4,,14.2,,24.5,,30.3,,5.2,,167,
85,China,"22,526.6",,"16,117",,5.7,,51.3,,42.8,,16.5,,..,,9.4,,19.1,,14.5,,1.7,,125,
86,Ecuador,197.6,,"11,375",,-1.6,,52.1,,25.0,,14.5,,-2.4,,..,,..,,42.6,,8.7,,124,
86,Saint Lucia,2.8,,"15,449",,1.2,,50.0,,..,,..,,..,,18.2,,22.7,,35.1,,2.5,,110,c
88,Azerbaijan,144.4,,"14,404",,1.4,,51.2,,19.4,,10.8,,..,,13.0,,11.1,,36.4,,6.4,,157,
88,Dominican Republic,197.8,,"18,419",,4.0,,50.8,,27.4,,11.2,,5.5,,13.0,,26.1,,43.8,,3.8,,135,
90,Moldova (Republic of),34.6,,"13,034",,5.3,,58.7,,25.6,,13.7,,-3.5,,17.7,,12.8,,61.3,,4.8,,166,
91,Algeria,488.6,,"11,350",,-1.1,,46.3,,40.5,,18.6,,1.9,,..,,..,,3.2,,0.1,,151,
92,Lebanon,100.9,,"14,717",,-5.7,,47.5,,18.4,,15.2,,-6.2,,15.3,,27.6,,145.1,,30.0,,130,
93,Fiji,12.3,,"13,853",,0.3,,45.5,,..,,..,,..,,24.2,,24.6,,16.7,,1.0,,132,
94,Dominica,0.9,,"12,156",,5.4,,..,,..,,..,,..,,..,,..,,55.3,,5.2,,104,c
95,Maldives,10.0,,"18,914",,2.2,,41.0,,..,,..,,..,,9.1,f,4.3,f,48.0,,7.1,,100,
95,Tunisia,125.8,,"10,756",,-0.1,,45.9,,18.6,,20.6,,..,,21.1,e,26.7,e,90.0,,7.3,,155,
97,Saint Vincent and the Grenadines,1.4,,"12,466",,0.0,,48.6,,..,,..,,..,,25.4,,24.7,,37.6,,4.9,,110,c
97,Suriname,9.5,,"16,329",,-1.7,,46.9,,37.5,g,..,,..,,..,,..,,..,,..,,295,
99,Mongolia,39.7,,"12,310",,3.3,,41.4,,31.5,,12.2,,13.6,,16.8,,16.6,,253.9,,68.6,,196,
100,Botswana,40.9,,"17,766",,0.8,,46.2,,31.5,,18.4,,3.2,,19.5,,30.1,,9.7,,1.1,,150,
101,Jamaica,28.8,,"9,761",,0.2,,63.6,,23.3,,13.5,,0.7,,26.8,,27.5,,108.0,,8.3,,163,
102,Jordan,100.1,,"9,906",,0.5,,36.5,,18.4,,15.5,,3.7,,15.1,,11.9,,76.1,,5.4,,126,
103,Paraguay,89.4,,"12,685",,-1.3,,52.3,,18.5,,11.8,,5.1,,10.0,,13.9,,39.9,,5.9,,144,
104,Tonga,0.6,c,"6,267",c,-0.9,c,45.7,,33.0,e,..,,..,,22.3,,10.9,,41.3,,2.4,,121,d
105,Libya,102.8,,"15,174",,1.0,,41.2,,..,,..,,..,,..,,..,,..,,..,,..,
106,Uzbekistan,235.0,,"6,999",,3.6,,41.4,,40.0,,16.4,,6.1,,14.8,,17.6,,33.9,,1.9,,..,
107,Bolivia (Plurinational State of),100.4,,"8,724",,0.8,,54.4,,19.0,,18.1,,3.8,,..,,..,,33.8,,2.6,,148,
107,Indonesia,"3,196.7",,"11,812",,3.9,,38.1,,32.3,,8.8,,3.2,,10.2,,38.6,,37.6,,5.6,,151,
107,Philippines,963.1,,"8,908",,4.6,,26.6,,27.2,,12.5,,9.6,,14.0,,36.5,,19.9,,2.3,,130,
110,Belize,2.7,,"7,005",,-1.6,,50.0,,19.0,,17.5,,0.3,,26.3,,24.4,,76.8,,6.5,,..,
111,Samoa,1.3,,"6,517",,3.0,,43.7,,..,,..,,..,,25.5,,15.2,,51.3,,3.9,,118,
111,Turkmenistan,86.9,c,"14,845",c,4.5,c,46.6,,47.2,e,7.8,,..,,..,,..,,2.3,,0.1,,..,
113,Venezuela (Bolivarian Republic of),..,,..,,-4.7,h,42.6,,21.6,,14.6,,0.6,,..,,..,,33.9,h,5.1,h,"2,740",i
114,South Africa,730.9,,"12,482",,-1.2,,54.1,,17.9,,21.3,,1.5,,27.5,,47.8,,50.6,,6.6,,159,
115,"Palestine, State of",25.9,c,"5,662",c,-1.6,c,38.2,,23.2,,26.2,,0.9,,6.4,,4.6,,..,,..,,113,
116,Egypt,"1,180.9",,"11,763",,3.5,,34.9,,16.3,,8.4,,1.7,,12.5,,24.1,,40.4,,3.2,,264,c
117,Marshall Islands,0.2,c,"3,894",c,3.0,c,..,,21.7,,56.3,,5.6,,17.8,,10.9,,..,,..,,..,
117,Viet Nam,775.7,,"8,041",,6.0,,40.5,,24.2,,6.5,,5.8,,..,,..,,46.7,,8.1,,164,
119,Gabon,32.3,,"14,870",,0.9,,27.0,,22.4,,9.1,,-13.0,,10.2,,28.8,,43.0,,4.2,,123,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,33.9,,"5,253",,2.3,,39.4,,31.5,,16.8,,0.5,,18.0,,11.2,,103.0,,10.3,,156,
121,Morocco,278.5,,"7,515",,1.0,,43.5,,28.5,,18.9,,3.5,,21.9,,33.0,,42.2,,3.4,,111,
122,Guyana,7.6,,"9,703",,4.2,,55.0,,36.8,,18.0,,5.3,,..,,..,,44.6,,3.7,,116,
123,Iraq,427.7,,"10,881",,2.1,,27.3,,12.9,,22.0,,6.3,,2.0,,4.8,,..,,..,,120,c
124,El Salvador,56.6,,"8,776",,1.9,,45.0,,17.8,,16.0,,-0.2,,18.1,,27.3,,71.1,,14.4,,111,
125,Tajikistan,31.5,,"3,380",,4.5,,28.5,,26.6,,17.8,,..,,..,,..,,67.7,,6.7,,149,i
126,Cabo Verde,3.9,,"7,172",,4.5,,42.2,,34.5,,17.6,,4.8,,20.1,,19.5,,89.3,,2.9,,111,
127,Guatemala,143.4,,"8,638",,2.2,,38.8,,14.2,,11.1,,3.5,,10.6,,33.4,,29.0,,5.5,,143,
128,Nicaragua,35.4,,"5,407",,-5.1,,58.6,,17.5,,15.6,,1.2,,15.7,,40.4,,90.7,,8.4,,163,
129,Bhutan,8.6,c,"11,345",c,1.8,c,45.2,,47.2,,17.1,,3.0,,16.0,,22.7,,109.2,,3.9,,167,
130,Namibia,24.0,,"9,637",,-3.0,,47.6,,16.2,,25.9,,0.4,,29.3,,35.9,,..,,..,,158,
131,India,"9,229.2",,"6,754",,4.0,,49.0,,27.5,,11.8,,9.8,,11.2,,44.2,,19.3,,2.4,,180,
132,Honduras,55.8,,"5,728",,1.0,,65.7,,22.5,,13.5,,0.6,,17.3,,23.4,,43.7,,9.5,,150,
133,Bangladesh,775.1,,"4,754",,7.0,,42.2,,31.6,,6.3,,9.0,,8.8,,25.2,,18.2,,1.0,,180,
134,Kiribati,0.3,,"2,275",,0.7,,..,,31.6,,73.9,,10.7,,22.0,,7.2,,..,,..,,100,j
135,Sao Tome and Principe,0.9,,"3,964",,0.5,,41.0,,..,,..,,..,,..,,..,,58.8,,1.1,,185,c
136,Micronesia (Federated States of),0.4,c,"3,469",c,-0.8,c,..,,..,,..,,..,,25.2,,43.2,,..,,..,,112,d
137,Lao People's Democratic Republic,56.1,,"7,826",,3.1,,49.7,,29.0,,14.0,,-0.3,,..,,..,,90.2,,5.4,,136,
138,Eswatini (Kingdom of),10.0,,"8,688",,1.0,,39.6,,13.1,,22.8,,-4.7,,..,,..,,10.9,,1.1,,163,c
138,Ghana,164.6,,"5,413",,4.2,,47.8,,19.6,,8.9,,5.4,,12.6,,39.4,,36.3,,4.1,,268,
140,Vanuatu,0.9,,"3,144",,0.4,,67.4,,25.9,,14.9,,-1.1,,18.0,,..,,45.9,,2.1,,117,
141,Timor-Leste,4.0,,"3,123",,1.4,,46.8,,32.5,,55.7,,-1.0,,25.0,,24.4,,6.7,,0.1,,145,c
142,Nepal,97.7,,"3,417",,5.0,,37.1,,33.7,,11.6,,7.8,,20.7,,22.5,,18.9,,0.8,,189,
143,Kenya,227.6,,"4,330",,3.0,,43.9,,16.8,,13.1,,4.9,,15.1,,37.1,,36.1,,3.2,,181,c
144,Cambodia,72.4,,"4,389",,5.5,,37.6,,23.4,,4.8,,5.8,,17.1,,18.5,,58.2,,5.6,,128,c
145,Equatorial Guinea,25.2,,"18,558",,-8.8,,51.9,,13.2,,26.0,,-1.9,,6.1,,21.9,,..,,..,,124,
146,Zambia,62.1,,"3,479",,-1.2,,51.4,,37.7,,12.4,,..,,16.2,,36.0,,73.7,,5.5,,212,
147,Myanmar,277.9,,"5,142",,2.2,,44.4,,29.9,,18.3,,4.8,,5.4,,11.5,,21.5,,1.1,,168,
148,Angola,211.8,,"6,654",,-4.0,,47.3,,17.2,,10.5,,-1.7,,9.2,,39.4,,54.0,,9.8,,..,
149,Congo,17.7,,"3,298",,-3.4,,53.2,,18.4,,7.6,,-4.4,,9.0,,12.6,,51.1,,2.9,,125,
150,Zimbabwe,41.5,,"2,836",,-9.4,,33.6,,9.3,,25.6,,27.2,,20.7,,33.3,,39.8,,2.7,,106,d
151,Solomon Islands,1.6,,"2,367",,0.1,,49.1,,..,,..,,..,,29.5,,22.2,,29.1,,3.0,,133,
151,Syrian Arab Republic,..,,..,,..,,39.4,,..,,..,,..,,..,,..,,..,,..,,..,
153,Cameroon,94.5,,"3,653",,1.4,,36.4,,24.2,,11.3,,0.5,,12.8,,21.2,,28.7,,2.8,,119,
154,Pakistan,"1,015.8",,"4,690",,-1.0,,42.2,,14.0,,11.7,,0.8,,..,,..,,27.6,,1.8,,182,
155,Papua New Guinea,38.5,,"4,388",,3.6,,30.7,,..,,..,,..,,13.6,,43.4,,78.4,,12.2,,156,
156,Comoros,2.6,,"3,081",,0.5,,34.8,,14.9,,10.3,,0.0,,..,,..,,16.5,,0.5,,..,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,23.5,,"5,197",,3.1,,43.3,,37.1,,12.9,,5.5,,..,,..,,97.8,,5.5,,135,
158,Benin,38.8,,"3,287",,4.0,,46.6,,25.2,,10.3,,5.8,,..,,..,,35.9,,1.5,,111,
159,Uganda,96.6,,"2,181",,2.8,,38.8,,25.8,,7.9,,-0.4,,11.7,,29.8,,46.3,,2.2,,174,
160,Rwanda,28.1,,"2,226",,6.6,,35.7,,27.5,,16.2,,17.4,,14.3,,22.9,,58.0,,2.8,,151,
161,Nigeria,"1,032.0",,"5,135",,-0.4,,66.5,,19.0,,5.6,,33.2,,..,,..,,12.4,,1.5,,268,
162,Côte d'Ivoire,134.7,,"5,238",,4.2,,27.5,,22.9,,9.6,,1.9,,11.8,,25.3,,37.9,,3.0,,112,
163,Tanzania (United Republic of),149.8,,"2,660",,2.7,,49.1,,35.5,,8.5,,1.1,,11.5,,26.3,,33.1,,1.9,,187,
164,Madagascar,44.4,,"1,646",,2.1,,47.2,,21.1,,14.3,,4.4,,10.2,,18.1,,31.8,,0.9,,184,
165,Lesotho,5.9,,"2,768",,0.7,,66.7,,32.1,,38.3,,-2.0,,31.6,,25.4,,29.2,,2.1,,156,
166,Djibouti,5.4,,"5,519",,5.9,,40.8,,25.0,,19.5,,3.2,,..,,..,,157.6,,21.4,,120,
167,Togo,12.9,,"1,596",,2.8,,39.4,,28.0,,18.2,,3.1,,16.9,,14.2,,33.3,,2.2,,113,
168,Senegal,55.3,,"3,395",,2.4,,32.5,,28.7,,13.6,,6.8,,16.3,,19.3,,52.4,,3.2,,109,
169,Afghanistan,83.8,,"2,202",,0.5,,44.6,,17.8,,13.1,,..,,9.3,,4.5,,13.4,,0.3,,150,
170,Haiti,19.5,,"1,729",,-2.2,,48.4,,27.6,,11.5,,-16.5,,..,,..,,22.8,,0.2,,179,c
170,Sudan,169.5,,"3,958",,-4.9,,34.4,,18.7,,5.9,,-9.8,,8.0,,5.9,,56.9,,0.9,,"1,344",
172,Gambia,5.2,,"2,207",,2.9,,39.7,,18.5,,13.4,,8.3,,9.4,f,18.0,f,42.7,,2.8,,173,
173,Ethiopia,248.8,,"2,220",,5.5,,44.1,,35.2,,9.2,,12.1,,7.5,,21.6,,33.4,,2.4,,..,
174,Malawi,19.7,,"1,060",,1.6,,35.1,,12.3,,13.9,,-3.6,,17.3,,40.7,,32.2,,1.1,,418,
175,Congo (Democratic Republic of the),95.3,,"1,098",,1.1,,39.4,,25.1,,7.0,,6.6,,..,,..,,10.9,,0.8,,134,i
175,Guinea-Bissau,3.8,,"1,989",,2.1,,39.4,,11.3,,10.7,,89.2,,10.3,,14.0,,28.9,,0.6,,107,h
175,Liberia,7.0,,"1,428",,-4.6,,38.9,,22.8,,19.7,,4.1,,12.9,k,31.2,k,44.7,,1.2,,223,c
178,Guinea,32.7,,"2,564",,2.6,,58.1,,30.6,,25.1,,5.2,,..,,..,,24.6,,0.8,,263,
179,Yemen,..,,..,,-1.6,c,42.6,,..,,..,,..,,..,,..,,26.1,,0.4,,158,h
180,Eritrea,..,,..,,..,,39.6,,12.6,l,..,,..,,..,,..,,40.8,l,1.1,l,..,
181,Mozambique,38.9,,"1,280",,-0.7,,49.7,,24.7,,22.9,,6.1,,21.6,,39.8,,107.6,,5.7,,182,
182,Burkina Faso,44.5,,"2,190",,2.7,,48.5,,24.8,,14.4,,12.0,,15.0,,21.8,,23.4,,0.9,,108,
182,Sierra Leone,13.4,,"1,718",,3.3,,47.5,,13.1,,9.2,,-1.3,,..,,..,,45.1,,1.5,,234,
184,Mali,45.8,,"2,327",,1.9,,50.9,,20.7,,15.6,,4.0,,11.6,,24.2,,29.5,,1.5,,109,
185,Burundi,8.7,,752,,-1.3,,57.0,,12.3,,27.6,,9.1,,..,,..,,19.2,,1.0,,182,
185,South Sudan,..,,..,,-12.1,j,48.6,,5.8,,7.3,,1.4,,..,,..,,..,,..,,"4,584",d
187,Chad,25.2,,"1,580",,0.2,,55.6,,21.4,,3.6,,1.7,,..,,..,,29.3,,1.6,,118,
188,Central African Republic,4.5,,945,,1.3,,55.3,,22.4,,15.0,,31.8,,8.6,,5.2,,32.7,,0.8,,..,
189,Niger,28.4,,"1,219",,1.9,,30.7,,30.2,,15.2,,0.5,,..,,..,,36.1,,1.0,,109,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,
..,Korea (Democratic People's Rep. of),..,,..,,..,,29.6,,..,,..,,..,,..,,..,,..,,..,,..,
..,Monaco,..,,..,,5.3,c,..,,..,,..,,..,,..,,..,,..,,..,,..,
..,Nauru,0.1,,"11,599",,1.0,,..,,..,,..,,..,,30.5,,14.3,,..,,..,,..,
..,San Marino,2.0,c,"59,350",c,0.8,c,..,,20.4,,19.9,,1.7,,18.1,,17.2,,..,,..,,111,d
..,Somalia,..,,..,,..,,39.6,,..,,..,,..,,..,,3.1,,39.4,,..,,..,
..,Tuvalu,0.0,,"4,288",,8.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,"69,492.3",,"44,454",,—,,56.5,,21.7,,17.4,,2.1,,14.4,,36.6,,..,,..,,—,
,High human development,"41,848.5",,"14,569",,—,,48.9,,35.0,,15.8,,..,,10.9,,24.6,,22.5,,3.0,,—,
,Medium human development,"13,535.5",,"6,205",,—,,46.1,,25.2,,12.4,,7.9,,11.1,,39.7,,24.4,,2.7,,—,
,Low human development,"2,522.1",,"2,879",,—,,52.8,,23.4,,8.6,,17.8,,..,,..,,26.0,,1.8,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,"67,363.2",,"10,845",,—,,47.6,,31.6,,15.2,,4.2,,11.1,,26.3,,25.1,,3.3,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,"5,955.9",,"16,487",,—,,34.4,,21.2,,18.7,,2.1,,7.7,,15.2,,44.8,,..,,—,
,East Asia and the Pacific,"30,742.2",,"14,848",,—,,49.3,,40.0,,15.6,,..,,9.9,,23.1,,17.7,,2.2,,—,
,Europe and Central Asia,"4,483.1",,"18,337",,—,,40.4,,25.4,,15.0,,4.6,,17.0,,18.8,,67.1,,11.3,,—,
